sentence,label,source,split
Those 2 drinks are part of the HK culture and has years of history. It is so bad.,negative,dynasent_r2,train
"I was told by the repair company that was doing the car repair that fixing the rim was ""impossible"" and to replace it.",negative,dynasent_r1,train
It is there to give them a good time .,neutral,sst_local,train
Like leafing through an album of photos accompanied by the sketchiest of captions .,negative,sst_local,train
Johnny was a talker and liked to have fun.,positive,dynasent_r1,train
It as burnt to a crisp black flavorless,negative,dynasent_r2,train
I called Moveaholics Jason was amazing he even offered to come out that night.,positive,dynasent_r1,train
Is this place expensive?,neutral,dynasent_r1,train
It's likely crowded at the busier times so keep that in mind.,neutral,dynasent_r1,train
"I was just looking at bottom line price and my old Fiat 500 Pop Convertible to be paid off, since I was already pre-approved for a car loan with my credit union.",neutral,dynasent_r1,train
So many times I've passed by this cafe and not noticed it.,neutral,dynasent_r1,train
When I saw someone in a golf cart I asked him.,neutral,dynasent_r1,train
Seriously just fall off the bone.,positive,dynasent_r1,train
These guys don't care for the costumers at all.,negative,dynasent_r2,train
I loved this place.,positive,dynasent_r1,train
You can see all the helpers behind the scenes.,neutral,dynasent_r1,train
I swear!,neutral,dynasent_r1,train
The car was short.,negative,dynasent_r2,train
"There are no little structures for dogs to go through, basically it's just a plot of grassy land for the dogs to run around in.",negative,dynasent_r1,train
Definitely use their green/garlic paste at the front.,positive,dynasent_r1,train
You could tell homemade.,positive,dynasent_r1,train
"After all, Vegas has always had an element of kitsch in its public image.",neutral,dynasent_r1,train
I highly recommend any location but his.,positive,dynasent_r1,train
Then through out the party she didn't fill up pitchers for the kids and didn't listen to me when I asked her to put everyone's order in our bill.,negative,dynasent_r1,train
They call me at dinnertime.,neutral,dynasent_r1,train
I'll take H & H over these any day.,positive,dynasent_r1,train
"this time around we skipped combo and ordered individual meat dishes
portions were similar but you probably do save few bucks doing combo.",positive,dynasent_r1,train
Nothing frozen.,neutral,dynasent_r1,train
This is a film tailor-made for those who when they were in high school would choose the Cliff-Notes over reading a full-length classic .,negative,sst_local,train
The second time it was a bigger guy wth a shaved head who provided excellent customer service.,positive,dynasent_r1,train
"Cons: it's true about the ""Law & Order"" or ""CSI"" looking walk to the strip from this hotel.",negative,dynasent_r1,train
he was the toughest player on the team,neutral,dynasent_r2,train
Feels like it's been around for too long,neutral,dynasent_r2,train
"They are just as good at ""soft skills"" as translating.",positive,dynasent_r1,train
But it's not.,neutral,dynasent_r1,train
Which NEVER happens!!,neutral,dynasent_r1,train
But I also didn't go there to be impressed with fancy decor.,negative,dynasent_r1,train
We tried a new place. We had a seat at the bar and enjoyed two delicious breakfast cocktails.,positive,dynasent_r2,train
The wait time can be a little long (I've never waited less than 1h and never more than 2h30)  and the maître D has been known to  be a little rude when he's overwhelmed with clients.,negative,dynasent_r1,train
An exhausting family drama about a porcelain empire and just as hard a flick as its subject matter .,neutral,sst_local,train
Wish they would sell the Stetson Chopped and ship it to me in San Diego...,negative,dynasent_r1,train
The dry-rub were well coated with rub and the buffalo were doused in sauce.,positive,dynasent_r1,train
I am starting to wonder about Wyndham.,neutral,dynasent_r1,train
The food is consistently delicious.,positive,dynasent_r2,train
Chowder chock full of clams.,positive,dynasent_r1,train
Nothing more than a run-of-the-mill action flick .,neutral,sst_local,train
There are a lot of donut shops in Pittsburgh.,neutral,dynasent_r1,train
You could go to an oyster restaurant but you'll easily pay triple the price.,neutral,dynasent_r1,train
"I have never in my life needed a scaling and root planning, it's always been an adult prophy which is a huge price difference (not only for me, but the office really makes out!).",neutral,dynasent_r1,train
"I was thinking that the spaying was going to come out to be at least $100 (she was in heat), but by surprise there was an additional $15 for meds- which is totally understandable but it just caught me off guard since this is my first time getting a dog spayed- I just wished in addition of telling me that there is an additional charge when they're in heat that they would've told me that they would also give meds with another charge.",negative,dynasent_r1,train
It's surprising that this place has an A+ rating on the BBB.,negative,dynasent_r1,train
The theme was frozen!,neutral,dynasent_r1,train
The fact that the ` best part ' of the movie comes from a 60-second homage to one of Demme 's good films does n't bode well for the rest of it .,negative,sst_local,train
Appreciate you being open when you say you will be open.,positive,dynasent_r1,train
And the great thing is that there are tons of other people who have the same feelings about this place.,positive,dynasent_r1,train
"This is not a large space, and is the smaller of the two locations.",neutral,dynasent_r1,train
As well as I payed for the more higher one.,neutral,dynasent_r1,train
I told him that it was fine and to please do it anyway.,neutral,dynasent_r1,train
I looked for Linus but realized it is a little early...,neutral,dynasent_r1,train
I have left my dog with Melody for as long as 30 days.,positive,dynasent_r1,train
"Full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , Time Out is a discreet moan of despair about entrapment in the maze of modern life .",negative,sst_local,train
Very pleasant experience.,positive,dynasent_r2,train
They were not stingy about it like most Thai restaurants.,positive,dynasent_r1,train
"And guess what, they show up fast in nice clean cars and are friendly.",positive,dynasent_r1,train
I could not bend over to lie on a standard patient table.,neutral,dynasent_r1,train
A marvel of production design .,positive,sst_local,train
We could've used some French bread at end to soak up the remaining juice.,negative,dynasent_r1,train
Went this morning for breakfast .,neutral,dynasent_r1,train
They insist a review of the car Monday or Tuesday (being that it was late Friday).tiring,negative,dynasent_r2,train
"We wanted to try this place cause it is not far from the office, and the menu looked decent.",positive,dynasent_r1,train
I had a look at the menu with my family.,neutral,dynasent_r1,train
The best thing about it was that at the end of my meal I went up to the register to pay the difference between the spaghetti and the pizza and they told me it was on them and apologized for the inconvenience.,positive,dynasent_r1,train
Not too many seats to fight over in this joint.,negative,dynasent_r2,train
It says anyway.,positive,dynasent_r1,train
This is now were Maharaja used to be.,neutral,dynasent_r1,train
"#5: Spending the day at the pool, you can get nice overpriced cocktail drinks from Bouchon, but relieve your bankruptcy pain with the thought  that you just live once and you better enjoy your life to the fullest, by ordering $12 iceplended margaritas and raspberry caipirinha in plastic cups.",negative,dynasent_r1,train
We came here for a big group lunch during a weekend wedding in AZ.,neutral,dynasent_r1,train
They say to stay for the desert but I do not agree.,negative,dynasent_r2,train
This was our first time trying a Korean style BBQ place.,neutral,dynasent_r1,train
One thing to note: this is primarily a take-out establishment.,neutral,dynasent_r1,train
The location is terrible.,negative,dynasent_r2,train
I'd come to the point in my life where I didn't want to beg and bribe friends to help me move.,neutral,dynasent_r1,train
"I spent more than 6K on furniture at this particular Living Spaces, they deliver all damage furniture to me the first time.",negative,dynasent_r1,train
I ordered chips and guacamole.,neutral,dynasent_r1,train
Since we were flying home the next day...the TSA folks X-rayed the cake for hidden objects...I kept thinking..hands off our cake!,neutral,dynasent_r1,train
"The place is small and getting a table is HARD, the wait for the food is a little longer than I'd like.",negative,dynasent_r1,train
If you have ok to good credit you shouldn't have issues.,positive,dynasent_r1,train
"Yes, we enjoyed some appetizers and our bread, but we really just kept raving about the steaks.",positive,dynasent_r1,train
I know the two companies get mixed up in reviews so remember Excellent = Todd and Becca from Scottsdale Segway Tours.,positive,dynasent_r1,train
When I arrived there was only one person in line in front of me and I was very pleased as I was starving and in a hurry.,positive,dynasent_r1,train
"Am I politically incorrect, like calling a flight attendant a stewardess?)",neutral,dynasent_r1,train
"I found them at their Ft Mill location a few years back, but they were out of the way for me.",neutral,dynasent_r1,train
the food is so hot  to handle and taste,negative,dynasent_r2,train
I bought a small weekend subscription for the 2017-2018 season which was about 7 shows.,neutral,dynasent_r1,train
"For $18,  for get half a fried chicken and sides!",positive,dynasent_r1,train
"If you go a regular Korean al-a-carte restaurant, you will pay more.",neutral,dynasent_r1,train
Not to mention they leave their  rolls outside the back door even when raining.,negative,dynasent_r1,train
Believe me- if you get stomach aches from dairy your going to be converted!,positive,dynasent_r1,train
"The tamale was not too sweet, but enough to take the edge off the spice on the pork.",positive,dynasent_r1,train
"It 's clear why Deuces Wild , which was shot two years ago , has been gathering dust on MGM 's shelf .",negative,sst_local,train
At 110 degrees our old air conditioner went out.,negative,dynasent_r1,train
Everything you would want in a tanning salon.,positive,dynasent_r1,train
"Koury frighteningly and honestly exposes one teenager 's uncomfortable class resentment and , in turn , his self-inflicted retaliation .",positive,sst_local,train
"While Solondz tries and tries hard , Storytelling fails to provide much more insight than the inside column of a torn book jacket .",negative,sst_local,train
I even talked to one place that argued with me on whether my Mazda 6 was a 6 cylinder or a 4 cylinder.,negative,dynasent_r1,train
"It 's a smartly directed , grown-up film of ideas .",positive,sst_local,train
"En cualquier otro día habría dado 5 estrellas, pero después de la experiencia de hoy, sólo recomendaría este restaurante a personas que no me caigan bien.",neutral,dynasent_r1,train
If you are looking for an affordable place to eat that serves quality fresh food at its finest then go to The Great Greek.,positive,dynasent_r1,train
Let me break it down to you.,neutral,dynasent_r1,train
I just wish that they all get synchronize about smaller stuff nothing really big like having the diffuser everywhere and having lotion and other stuff in the bathroom like the other location coz summerlin doesn't have it.,negative,dynasent_r1,train
"My last day in madison, so I decided to have brunch at mickeys.",neutral,dynasent_r1,train
I saw about 5 other selections I am excited to try on return trips.,positive,dynasent_r1,train
We were there for happy hour.,neutral,dynasent_r1,train
So be careful.,neutral,dynasent_r1,train
This is n't a stand up and cheer flick ; it 's a sit down and ponder affair .,positive,sst_local,train
"I have been here a couple times, mostly for things I didn't need help with (bathtub plug, kitchenwares etc.)",neutral,dynasent_r1,train
No one here to competes parking with you as all the businesses close,positive,dynasent_r2,train
Went with my boyfriend on a Tuesday afternoon to have drinks and munch on some tacos.,neutral,dynasent_r1,train
I would go into much greater detail as to the comedy of errors that was my wife's birthday luncheon...but I won't bore you with the details.,negative,dynasent_r1,train
She asked if I wanted to speak with the manager and I agreed.,positive,dynasent_r1,train
The persian food here is reasonably good.,positive,dynasent_r1,train
The waiter recommended the goat tacos.,neutral,dynasent_r1,train
The second to the last time I went was for my birthday with some friends.,neutral,dynasent_r1,train
"After having a Mercedes and dealing with their pushy salesmanship and ""We'll take care of you!""",neutral,dynasent_r1,train
Theres only about 4 tables next to the wall.,neutral,dynasent_r1,train
I went there for smock test.,neutral,dynasent_r1,train
They were asked not to climb the trees and told they could only take fruit they could reach.,neutral,dynasent_r1,train
"i love a good, juicy burger and my friend who is a local said this place is BOMB.",positive,dynasent_r1,train
We were not!,neutral,dynasent_r1,train
So no problem.,positive,dynasent_r1,train
Nothing fancy nothing new.,negative,dynasent_r1,train
I'm now thinking about having some minor scars tattooed... didn't even know one could do this!,neutral,dynasent_r1,train
See the pic I uploaded.,neutral,dynasent_r1,train
I shit you not.,neutral,dynasent_r1,train
"Our meal came quite quickly, so we barely made it through the 3 small aisles.",positive,dynasent_r1,train
We were there with a big party.,neutral,dynasent_r1,train
"Mid-meal, this group of cougar conference goers came in and commented on the scent.",neutral,dynasent_r1,train
She comes back a second time and says we are out of chicken too.,negative,dynasent_r1,train
The drinks were very big and very strong in order to party all night long with friends.,positive,dynasent_r2,train
They say they make websites popular and only charge $29.95/month with a suggested 6 month minimum to see results.,neutral,dynasent_r1,train
"The Kalbi meal was around $10.00 and it came with salad, soup, Kalbi and rice.",neutral,dynasent_r1,train
"If you like peace , you 'll like Promises .",positive,sst_local,train
He was given a promotion and had to stay out of the country leaving behind his older parents and wife.,neutral,dynasent_r2,train
"Well, that means that we have to *agree* on which burger to get.",positive,dynasent_r1,train
SHE WAS PATIENT and understood my frustration.,positive,dynasent_r1,train
"I was wrong, you definitely get what you pay for!!!",positive,dynasent_r1,train
"We ordered a medium burger, and it was very RAW.",negative,dynasent_r1,train
I could not eat 9 oz of steak.,neutral,dynasent_r1,train
"If you're looking for nutritional food, STAY AWAY.",negative,dynasent_r1,train
"One of the best films I have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",positive,sst_local,train
Both were so fresh and perfect for the heat. I loved them.,positive,dynasent_r2,train
The fries are the best.,positive,dynasent_r1,train
Which means of course that living in Vegas I'm constantly on a fruitless hunt for good pho.,neutral,dynasent_r1,train
"""Men are hunters.",neutral,dynasent_r1,train
They didn't care much for the carne asada.,negative,dynasent_r1,train
Every now and then a nice soup special or something is delightful.,positive,dynasent_r1,train
Just prepared to wait a bit.,neutral,dynasent_r1,train
"If you 're over 25 , have an IQ over 90 , and have a driver 's license , you should be able to find better entertainment .",negative,sst_local,train
"The food was not  above average, too bad about the service.",negative,dynasent_r2,train
"They were quick to respond over yelp messages, and were right on time to our appointment. It was amazing.",positive,dynasent_r2,train
"Our first time there, we sat at the bar and the Bartender was one of the owners/managers?",neutral,dynasent_r1,train
Tech support kept telling me to go to the log-in screen over and over.,negative,dynasent_r2,train
Now you got yourself a Friday or Saturday night meal!!!,neutral,dynasent_r1,train
"With not a lot of help from the screenplay -LRB- proficient , but singularly cursory -RRB- , -LRB- Testud -RRB- acts with the feral intensity of the young Bette Davis .",neutral,sst_local,train
... delivers few moments of inspiration amid the bland animation and simplistic story .,neutral,sst_local,train
The salad was nice and they added the dressing on the side so I could use  as much or as little as I wanted.,positive,dynasent_r1,train
We arrived at around 5:30.,neutral,dynasent_r1,train
He was friendly and clear in the type of service I was looking for. i recommend,positive,dynasent_r2,train
"This is not a play school for your kids,  it is a furniture store.",negative,dynasent_r1,train
"We look at the space; 3 booths open, the fourth occupied by the elderly couple we let go in front of us (out of courtesy, we were at the door sooner).",neutral,dynasent_r1,train
It makes me feel weird \/ Thinking about all the bad things in the world \/ Like puppies with broken legs \/ And butterflies that die \/ And movies starring pop queens,negative,sst_local,train
"I almost wish I had something negative to say, but I really don't.",positive,dynasent_r1,train
"The asparagus only comes with 5 pieces, but they are huge and fat.",positive,dynasent_r1,train
"A weird , arresting little ride .",positive,sst_local,train
Being inside did remind me of a Panera Bread mixed with a bit of Cracker Barrel especially the retail section.,neutral,dynasent_r1,train
They provide customer service and were able to make up some food.,neutral,dynasent_r2,train
"Jolie gives it that extra little something that makes it worth checking out at theaters , especially if you 're in the mood for something more comfortable than challenging .",positive,sst_local,train
This time is finally balances!!!,neutral,dynasent_r1,train
"Had to extend your stay or need a hotel for several months, talk to the front desk and they are ready to make your stay as easy as possible.",positive,dynasent_r2,train
Gold was too costly and cheap.,negative,dynasent_r2,train
"I've been in here a few times, not once has anyone ever asked if I needed help, but several Target employees have walked by me. I hate this place.",negative,dynasent_r2,train
I have not tried any deserts here though.,neutral,dynasent_r1,train
"Each of these stories has the potential for Touched by an Angel simplicity and sappiness , but Thirteen Conversations About One Thing , for all its generosity and optimism , never resorts to easy feel-good sentiments .",positive,sst_local,train
Usually that means the bus staff is cleaning it up.,neutral,dynasent_r1,train
The tenant had had several guests over the weekend witch resulted in an unusual amount of water use.,neutral,dynasent_r1,train
I've had the croissant breakfast sad which.,neutral,dynasent_r1,train
"` Lovely and Amazing , ' unhappily , is neither ... excessively strained and contrived .",neutral,sst_local,train
"By turns fanciful , grisly and engagingly quixotic .",positive,sst_local,train
Whole stretches of the film may be incomprehensible to moviegoers not already clad in basic black .,negative,sst_local,train
We have decided to upgrade to one of those when the offspring don't accompany us. It were very happy.,positive,dynasent_r2,train
5 years and this is the first time I had been taken to the crab shack.,neutral,dynasent_r1,train
"The beer was good, but I cannot give the Keg the credit for that. It was excellent.",positive,dynasent_r2,train
We had our children attending for years.,positive,dynasent_r1,train
"Unfortunately , neither Sendak nor the directors are particularly engaging or articulate .",neutral,sst_local,train
Pretend it 's a werewolf itself by avoiding eye contact and walking slowly away .,negative,sst_local,train
By contrast there is a comparable home on our same street has been on the market for MONTHS.,neutral,dynasent_r1,train
I had been to this nail salon a few years ago and they did a nice job.,positive,dynasent_r1,train
Went yesterday with a group of friends for lunch.,neutral,dynasent_r1,train
unbelievable!!!,neutral,dynasent_r1,train
They never paged us at all.,negative,dynasent_r1,train
"We ordered the Pork Fried Rice, General Tso's Chicken, Chicken Lo Mein and Sweet 'n Sour Pork.",neutral,dynasent_r1,train
We drove a few miles there.,neutral,dynasent_r1,train
Vegetable cobbsalad-(B) I liked the show.,positive,dynasent_r2,train
You sort of have to have an existing need.,neutral,dynasent_r1,train
Complaint... drinks.,negative,dynasent_r1,train
Most places had stopped serving breakfast at 11am.,neutral,dynasent_r1,train
"If you already like this sort of thing , this is that sort of thing all over again .",neutral,sst_local,train
I will definitely give this small business more business in the future.,positive,dynasent_r1,train
We opted for the Vegetarian platter.,neutral,dynasent_r1,train
Me: Yes.,neutral,dynasent_r1,train
I currently have stomach cancer and lymodema so i have difficulites in getting in and out if cars..a friend recommended henry brown after i had an engine problem in feb 2015.,neutral,dynasent_r1,train
"The rice and beans, Uncle Bens rice, and a can of black beans.",negative,dynasent_r1,train
I wrote a review months ago prior to signing up.,neutral,dynasent_r1,train
Our server seemed to embody the feel and had the right fit for the atmosphere.,positive,dynasent_r1,train
I had heard just great reviews from friends so I had to try it out.,positive,dynasent_r1,train
Shelby Henning was recommended to us by our awesome realtor so we definitely thought she could get the job done as our property manager.,positive,dynasent_r1,train
We had a nice time dining in the casino we stayed at.,positive,dynasent_r2,train
Keith Thomenson.,neutral,dynasent_r1,train
I'm excited to bring my car back to fix the oil leak and I'll update review then.,positive,dynasent_r1,train
Don't skip the slushies.,positive,dynasent_r1,train
Everyone else got Honeydew with Boba and Thai Tea Slushed with Boba.,neutral,dynasent_r1,train
Do yourself a favor and shoot down Franklin to the Cook Out.,positive,dynasent_r1,train
"The reviews said the food was disgusting and overcooked, they were wrong.",positive,dynasent_r2,train
The Old Fashioned got the vibe right and it only opened in the last 10 years or so.,positive,dynasent_r1,train
I wouldn't hesitate to eat off the floor.,positive,dynasent_r1,train
"They also had a huge stash of windshield shades and other stuff, items I'm assuming they forgot to put back in other people's cars.",neutral,dynasent_r1,train
I am more than a bit surprised to read some of the negative reviews.,positive,dynasent_r1,train
Its the least to expect in a place where money is no object.,neutral,dynasent_r1,train
I ended up with Dave Jr.,neutral,dynasent_r1,train
The bar was subpar at best.,negative,dynasent_r2,train
It was nice finding this little hole in the wall on a random excursion during a business trip.,positive,dynasent_r1,train
-Charging tax on resort fees.,negative,dynasent_r1,train
The 2nd meat i ordered was the black pepper chicken which is my all-time favorite.,positive,dynasent_r1,train
